기준년월,행정동코드,행정동명,연령대,평균이용금액,평균이용건수
202512,2626057000,동래구 온천3동,60대이상,179071348,4366
202512,2626058000,동래구 사직1동,20대,18516700,1080
202512,2626058000,동래구 사직1동,20대미만,4475131,291
202512,2626058000,동래구 사직1동,30대,39316078,1284
202512,2626058000,동래구 사직1동,40대,113060157,2283
202512,2626058000,동래구 사직1동,50대,88932260,2198
202512,2626058000,동래구 사직1동,60대이상,115020743,2769
202512,2626059000,동래구 사직2동,20대,22158536,1379
202512,2626059000,동래구 사직2동,20대미만,5050386,405
202512,2626059000,동래구 사직2동,30대,38307649,1593
202512,2626059000,동래구 사직2동,40대,100757490,2942
202512,2626059000,동래구 사직2동,50대,82383174,2692
202512,2626059000,동래구 사직2동,60대이상,68604568,2472
202512,2626060000,동래구 사직3동,20대,11530300,565
202512,2626060000,동래구 사직3동,20대미만,1948925,138
202512,2626060000,동래구 사직3동,30대,29934589,949
202512,2626060000,동래구 사직3동,40대,73527270,1825
202512,2626060000,동래구 사직3동,50대,64298149,1681
202512,2626060000,동래구 사직3동,60대이상,80257365,2047
202512,2626074000,동래구 안락1동,20대,19581624,751
202512,2626074000,동래구 안락1동,20대미만,1580489,99
202512,2626074000,동래구 안락1동,30대,50639363,1318
202512,2626074000,동래구 안락1동,40대,85480963,2063
202512,2626074000,동래구 안락1동,50대,124181404,2749
202512,2626074000,동래구 안락1동,60대이상,228784965,4910
202512,2626075000,동래구 안락2동,20대,24117793,1250
202512,2626075000,동래구 안락2동,20대미만,2962423,230
202512,2626075000,동래구 안락2동,30대,97227252,1944
202512,2626075000,동래구 안락2동,40대,86668093,2539
202512,2626075000,동래구 안락2동,50대,104485685,3085
202512,2626075000,동래구 안락2동,60대이상,126979045,3595
202512,2626076100,동래구 명장1동,20대,7004311,454
202512,2626076100,동래구 명장1동,20대미만,853715,112
202512,2626076100,동래구 명장1동,30대,19680564,698
202512,2626076100,동래구 명장1동,40대,32362740,1032
202512,2626076100,동래구 명장1동,50대,41280783,1237
202512,2626076100,동래구 명장1동,60대이상,50626052,1852
202512,2626076200,동래구 명장2동,20대,6448795,440
202512,2626076200,동래구 명장2동,20대미만,794734,100
202512,2626076200,동래구 명장2동,30대,17422132,637
202512,2626076200,동래구 명장2동,40대,28455183,873
202512,2626076200,동래구 명장2동,50대,36876941,1158
202512,2626076200,동래구 명장2동,60대이상,59629950,1700
202512,2629051000,남구 대연1동,20대,51183305,3501
202512,2629051000,남구 대연1동,20대미만,2765010,244
202512,2629051000,남구 대연1동,30대,56812080,1989
202512,2629051000,남구 대연1동,40대,93085919,2156
202512,2629051000,남구 대연1동,50대,108037737,2951
202512,2629051000,남구 대연1동,60대이상,169684703,3910
202512,2629053000,남구 대연3동,20대,259306702,16642
202512,2629053000,남구 대연3동,20대미만,24625512,2090
202512,2629053000,남구 대연3동,30대,144235753,5419
202512,2629053000,남구 대연3동,40대,196622116,5445
202512,2629053000,남구 대연3동,50대,193806690,5880
