관리번호,분류,데이터명,원본,발췌,단순집계,응용집계,시각화,기간,컬럼수,주요컬럼
SPN008,소비,신한카드 운영가맹점 매출(행정동·업종·사업자·월)신한카드 월별 운영 가맹점 매출 데이터(행정동·업종·사업자별,X,X,X,O,O,201901~202012,11,기준년월 / 행정기관_코드 / 업종구분_대분류 / 업종구분_중분류 / 업종구분_소분류 / 사업자_구분 / 운영기간 / 카드_이용금액 / 카드_이용건수 / 시스템_최종적재_일시 / 적재일자
SPN009,소비,100m 격자 성별·연령·시간대별 카드이용(일별) 100m 격자 기준 성별·연령·시간대별 일별 카드 소비 집,X,X,X,O,O,202201~202201,10,재난_지원금_이용금액 / 전통시장_상품권_이용금액 / 카드_이용금액 / 결제건수 / 기준연월일 / 100미터_격자_코드 / 성별_코드 / 연령대_코드 / 시간대_코드 / 적재일자
SPN010,소비,100m 격자 업종별 카드이용(일별)100m 격자 기준 업종별 일별 카드 소비 집계,X,X,X,O,O,202201~202201,9,기준년월일 / 100미터_격자_코드 / 업종구분_대분류 / 업종구분_중분류 / 카드_이용금액 / 결제건수 / 재난_지원금_이용금액 / 전통시장_상품권_이용금액 / 적재일자
SPN011,소비,해수욕장 국적별 카드이용(일별)해수욕장 방문객 국적별 일별 카드 소비 집계,X,X,X,O,O,202201~202201,6,기준년월 / 기준년월일 / 국적 / 카드_이용금액 / 결제건수 / 적재일자
SPN012,소비,해수욕장 국적·업종별 카드이용(일별) 해수욕장 방문객 국적·업종별 일별 카드 소비 집계,X,X,X,O,O,202201~202201,7,해수욕장_코드 / 기준년월일 / 국적 / 업종_대분류 / 카드_이용금액 / 결제건수 / 적재일자
SPN013,소비,관광객 국적별 카드이용(일별)관광객 국적별 일별 카드 소비 집계,X,X,X,O,O,202201~202201,6,국적 / 카드_이용금액 / 결제건수 / 기준년월 / 기준년월일 / 적재일자
SPN014,소비,전통시장 업종·시간대별 카드이용(일/월)전통시장 업종·시간대별 일별/월별 카드 소비 집계(요일은 코멘트만 반,X,X,X,O,O,202201~202204,10,기준년월 / 기준년월일 / 전통시장_코드 / 업종구분_대분류 / 업종구분_중분류 / 요일_코드 / 시간대_코드 / 카드_이용금액 / 결제건수 / 적재일자
SPN015,소비,BC카드 월별 상권소비(행정동·업종) BC카드의 월별 상권 소비 데이터(행정동·업종별),X,X,X,O,O,202201~202204,73,기준년월 / 광역시도명 / 시군구명 / 행정동명 / 행정기관 코드 / 가맹점업종코드 / 가맹점업종명 / 전체이용건수 / 개인이용건수 / 법인이용건수 / 남성이용건수 / 여성이용건수 / 10대미만이용건수 / 10대이용건수 / 20대이용건수 / 30대이용건수 / 40대이용건수 / 50대이용건수 / 60대이용건수 / 70대이상이용건수
SPN016,소비,BC카드 월별 온라인 매출(아파트 단지·배달·식품)BC카드의 월별 아파트 단지 배달·식품 온라인 매출 데이터,X,X,X,O,O,202201~202204,34,기준년월 / 시도명 / 시군구명 / 읍면동명 / 아파트명 / 한식예상매출금액 / 일식예상매출금액 / 중식예상매출금액 / 양식예상매출금액 / 스낵예상매출금액 / 한식매출금액 / 일식매출금액 / 중식매출금액 / 양식매출금액 / 스낵매출금액 / 한식매출건수 / 일식매출건수 / 중식매출건수 / 양식매출건수 / 스낵매출건수
SPN017,소비,BC카드 월별 온라인 매출(우편번호·행정동·품목)BC카드의 월별 온라인 매출 데이터(우편번호·행정동·품목별),X,X,X,O,O,202201~202204,17,기준년월 / 고객신우편번호 / 시도명 / 시군구명 / 행정동명 / 연령대코드 / 성별코드 / 품목소분류코드 / 품목소분류명 / 품목중분류코드 / 품목중분류명 / 품목대분류코드 / 품목대분류명 / 매출건수 / 매출금액 / 고객수 / 적재일자
SPN018,소비,BC카드 월별 온라인 소비(브랜드·품목·고객지역)BC카드의 월별 온라인 소비 데이터(브랜드·품목·고객지역별),X,X,X,O,O,202201~202204,18,기준년월 / 브랜드명 / 매출품목대분류코드 / 매출품목대분류명 / 매출품목중분류코드 / 매출품목중분류명 / 매출품목소분류코드 / 매출품목소분류명 / 성별분류값 / 연령대구분값 / 고객거주시도코드값 / 고객거주광역시도명 / 고객거주시군구값 / 고객거주시군구명 / 이용고객수 / 이용금액 / 이용건수 / 적재일자
SPN019,소비,BC카드 행정동-법정동 코드 매핑BC카드의 행정동과 법정동 매핑 데이터(행정표준코드 기준),O,O,O,O,O,202201~202201,7,시도명 / 행정기관 코드 / 시군구 코드 / 행정동 코드명 / 시군구 코드명 / 기준년월 / 적재일자
SPN020,소비,BC카드 업종 분류 코드BC카드 업종 대·중·소 분류 코드 데이터,O,O,O,O,O,202201~202201,8,업종 대분류 코드 / 업종 대분류 코드명 / 업종 중분류 코드 / 업종 중분류 코드명 / 업종 소분류 코드 / 업종 소분류 코드명 / 기준년월 / 적재일자
SPN021,소비,롯데마트 POS·카드 소비 데이터롯데마트 POS·카드 소비 내역 데이터,X,X,X,O,O,202201~202212,16,"매출일자 / 판매시간대 / 채널 / 점포주소(시,도) / 점포주소(시,군,구) / 대분류 / 중분류 / 소분류 / 구매건수 / 구매금액 / 성별 / 나이대(10세단위) / 구매자주소(시,도) / 구매자주소(시,군,구) / 구매자주소(동) / 적재일자"
SPN022,소비,신한카드 일별 카드소비(블록·성별·연령) 신한카드의 일별 블록·성별·연령별 카드 소비 통계,X,X,X,O,O,201901~202312,8,격자ID / 기준일자 / 행정기관 코드 / 성별코드 / 연령코드 / 이용금액 / 이용건수 / 적재일자
SPN023,소비,신한카드 일별 카드소비(블록·시간대) 신한카드의 일별 블록·시간대별 카드 소비 통계,X,X,X,O,O,201901~202312,7,격자ID / 기준일자 / 행정기관 코드 / 시간코드 / 이용금액 / 이용건수 / 적재일자
SPN024,소비,신한카드 일별 카드소비(블록·유입지) 신한카드의 일별 블록·유입지별 카드 소비 통계,X,X,X,O,O,201901~202312,8,격자ID / 기준일자 / 행정기관 코드 / 유입지시도 / 유입지시군구 / 이용금액 / 이용건수 / 적재일자
